CTID,Performance Score,Average Transit Trips per household per Week within _ Mile,Aaverage Transit Routes for households within _ Mile,Jobs Accessible in 30-minute trip,% Commuters Who Use Transit,TRANSIT CONNECTIVITY INDEX,TRANSIT ACCESS SHED,TRANSIT TRIPS PER WEEK,Commuter,% Commuters near transit,CARSHARE LOCATIONS NEAR TRANSIT,BIKESHARE LOCATIONS NEAR TRANSIT,HIGH FREQUENCY_24 hours route,HIGH FREQUENCY_7-10,HIGH FREQUENCY_Rushhour,TRANSIT STOPS NEAR TRANSIT,% hh near transit,% hh near HIGH FREQUENCY_24 hours route,% hh near HIGH FREQUENCY_7-10,% hh near HIGH FREQUENCY_Rushhour,% pop near transit,% pop near HIGH FREQUENCY_24 hours route,% pop near HIGH FREQUENCY_7-10,% pop near HIGH FREQUENCY_Rushhour,% LIHTC BUILDINGS NEAR TRANSIT,% LIHTC UNITS NEAR TRANSIT,COMMUTE BY WALKING,COMMUTE BY BIKING,WALKABLE NEIGHBORHOODS,NEIGHBORHOOD FORM,FARMERS MARKETS NEAR TRANSIT,ACCESS TO FARMERS MARKETS,TRANSPORTATION COSTS,"households with an income of $25,000 or less","households with an income of $25,000 to $49,999","households with an income of $50,000 to $74,999","households with an income of $75,000 to $99,999","households with an income of $100,000 or more ",access to consumers,acess to job $1250/mo or less ,access to job $1250 to $3333/mo,access to job $3333/mo or more ,access to job High School or Less,access to job Some College/Associates Degree or Less ,access to job Less than High School,access to job High School ,access to job Some College/Associates Degree,access to job Bachelor Degree or Advanced 
17031842400,9.5,8572,11,519483,0.46,23,73,8572,1063,100,0,0,4,6,6,86,100,100,100,100,100,100,100,100,0,0,0.03,0,6.5,3.1,0,29,0.19,54735,28289,43455,64268,104770,295516,92587,130296,296600,135651,258811,47519,88131,123161,153575
17031840300,9.3,6980,8,901263,0.34,18,68,6980,1646,100,0,0,2,3,6,41,100,100,100,100,100,100,100,100,0,0,0.01,0,5.6,2.3,0,25,0.18,82093,33363,50306,70682,92655,329099,148238,230530,522495,238447,444519,86726,151721,206072,263101
17031841100,9.6,7797,16,940871,0.14,29,68,7797,2938,100,0,4,5,7,10,70,100,98.7,100,100,100,98.6,100,100,100,100,0.25,0.01,5.7,2,0,33,0.13,114319,40697,59662,77054,115381,407112,156970,240942,542959,244171,457891,87539,156632,213720,274964
17031841200,9.2,5871,10,951257,0.32,18,75,5871,2383,100,0,1,2,6,7,53,100,100,100,100,100,100,100,100,0,0,0.08,0.03,6,2.4,0,29,0.15,104255,39316,54859,73806,92773,365010,161456,248855,540946,252493,468876,92246,160248,216382,273918
17031839000,9.9,23146,52,1024438,0.3,48,83,23146,5532,100,13,5,11,18,32,113,100,100,100,100,100,100,100,100,0,0,0.32,0.02,10.1,4.1,1,42,0.09,152596,55299,78519,98305,144156,528875,178977,271577,573883,269473,502207,97500,171973,232734,293606
17031838200,9.6,9382,13,984596,0.4,27,70,9382,771,100,2,3,5,6,11,91,100,100,100,100,100,100,100,100,0,0,0.3,0.03,6.1,3.3,0,29,0.15,129217,45971,62315,80391,102984,420878,168699,259805,556092,260002,483467,94874,165128,223465,282185
17031650301,8.2,2488,8,117354,0.17,10,46,2488,2303,100,0,0,1,2,2,32,100,99.8,99.9,99.9,100,99.8,99.9,99.9,0,0,0.06,0.01,6.1,2.8,0,5,0.21,22843,14613,24617,39388,40688,142150,33040,44698,39616,40480,67985,16092,24389,27504,21608
17031530503,8.2,2209,6,62522,0.11,9,44,2209,1720,100,0,0,0,0,1,36,100,0,0,1.3,100,0,0,1.4,0,0,0,0.01,5.5,2.2,0,8,0.21,14881,10120,15301,23434,31483,95219,18943,24309,19269,21567,37456,7705,13862,15889,10948
17031760803,8.3,542,5,86766,0.12,11,27,542,2671,100,0,0,1,1,1,31,100,4.5,4.5,23.9,100,3.6,3.6,19.5,0,0,0,0,8.4,6.3,0,6,0.17,25100,12218,16190,17719,16662,87889,23848,30068,32850,25664,45932,9571,16092,20268,21595
17031030601,9.4,7082,6,628846,0.61,22,30,7082,2015,100,1,1,1,4,5,28,100,100,100,100,100,100,100,100,0,0,0.01,0.03,8.7,3.2,1,28,0.14,106317,36316,48181,55005,60920,306739,110750,160876,357220,156895,301699,54287,102607,144805,188009
17031030604,9.4,7172,7,673610,0.59,22,33,7172,1616,100,1,1,1,5,6,28,100,100,100,100,100,100,100,100,100,100,0.01,0.02,10.3,4.3,0,29,0.13,114935,38608,51158,58750,64468,327919,116287,170212,387112,166211,320297,57300,108911,154086,203941
17031020801,8.3,2648,6,165546,0.16,10,34,2648,2779,100,0,2,2,2,4,44,100,100,100,100,100,100,100,100,0,0,0.02,0.02,5.3,2,0,14,0.16,66691,27437,37296,48851,50315,230589,48272,59586,57688,47393,84166,18435,28958,36773,42810
17031540102,7.6,1844,5,70523,0.42,8,34,1844,762,91.8,0,0,0,1,2,33,89.1,4,5,89.1,90.8,3.4,4.2,90.8,100,100,0.06,0,18.3,12.7,0,10,0.18,13822,9340,13849,21615,32349,90975,18805,22283,29435,21714,38518,7860,13854,16804,16518
17031843300,9.4,6218,12,916588,0.28,22,80,6218,735,100,0,2,4,7,10,73,100,100,100,100,100,100,100,100,100,100,0.1,0.02,5.7,2.9,0,32,0.15,102251,40874,57261,78159,96140,374684,153923,239959,522706,244404,453808,89351,155053,209404,265658
17031540101,7.3,1244,4,37784,0.35,7,30,1244,912,90,0,0,0,0,1,24,90.4,0,0,82.2,89.1,0,0,79.6,0,0,0.08,0,13.2,10.9,0,6,0.18,9490,7565,11119,17289,23894,69357,12059,14579,11146,13736,23154,5214,8522,9418,6158
17031440201,9.2,4699,5,87824,0.37,18,47,4699,1814,100,0,0,3,4,4,34,100,100,100,100,100,100,100,100,0,0,0.01,0,5.6,2.2,0,14,0.15,24187,16429,26320,41798,74386,183120,26578,29675,31572,28725,49901,10934,17791,21176,18763
17031080202,9.7,10623,14,931416,0.45,30,45,10623,2144,100,5,0,4,9,13,75,100,100,100,100,100,100,100,100,0,0,0.22,0.02,6.5,3,1,34,0.11,148035,46654,60571,64468,88171,407899,159258,238744,533414,236521,446459,83713,152808,209938,273932
17031070102,9.5,8922,13,902386,0.54,25,37,8922,2080,100,1,0,5,8,12,52,100,100,100,100,100,100,100,100,0,0,0.03,0.04,6.3,3.1,0,30,0.12,149781,46150,58604,61235,70561,386331,154262,229239,518884,225539,427579,79377,146162,202040,268935
