CTID,LIC1003,LIC1006,LIC1007,LIC1009,LIC1010,LIC1023,LIC1032,LIC1039,LIC1050,LIC1070,LIC1075,LIC1082,LIC1253,LIC1275,LIC1329,LIC1470,LIC1471,LIC1472,LIC1473,LIC1474,LIC1475,LIC1476,LIC1477,LIC1480,LIC1481,LIC1524,LIC1594,LIC1625,LIC1683,LIC1781,LIC2101,LIC3717,LIC4404,LIC4405,LIC4406,LIC4408,LIC4409,LIC7002,LIC7003,LIC7008,LIC7012,LIC7013,LIC7020,LIC8340,LIC8342,LIC8343,LIC8344,LIC8604,LIC_TOTAL
17031010100,0,8,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31
17031010201,0,6,0,0,13,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,35
17031010202,1,20,0,0,22,2,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,7,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,66
17031010300,2,12,0,0,16,1,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,19,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,67
17031010400,0,20,0,0,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,1,0,0,1,0,0,1,0,5,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,56
17031010501,0,7,0,0,5,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26
17031010502,0,14,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,4,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36
17031010503,1,16,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,2,0,1,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44
17031010600,0,20,0,0,19,1,0,0,3,0,0,0,0,0,0,5,0,0,0,4,4,0,1,0,0,0,0,2,0,6,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,82
17031010701,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,8
17031010702,0,38,0,1,44,0,1,0,3,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,1,0,1,5,0,0,6,1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,122
17031020100,0,7,0,2,20,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,2,0,0,0,0,1,0,0,0,2,0,0,1,0,47
17031020200,0,20,1,0,37,1,1,0,1,0,0,0,0,0,1,2,1,0,0,4,2,0,0,0,0,0,0,0,0,6,0,0,17,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,101
17031020301,0,8,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
17031020302,0,7,0,0,14,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,15,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,52
