CTID,Loss1,Loss2,Loss3,Total,HIT_RUN,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING
17031010100,31,106,109,246,84,18,0,2,12
17031010201,52,177,183,412,135,33,0,3,23
17031010202,47,172,155,374,91,27,0,5,10
17031010300,39,160,120,319,95,33,0,4,20
17031010400,47,235,223,505,106,34,0,5,21
17031010501,25,65,76,166,40,23,0,3,17
17031010502,29,59,76,164,44,15,0,4,9
17031010503,35,143,118,296,52,26,0,3,16
17031010600,30,118,96,244,86,12,0,0,8
17031010701,28,120,115,263,72,16,0,1,11
17031010702,55,180,157,392,101,44,0,2,34
17031020100,49,171,133,353,86,43,0,7,20
17031020200,106,285,298,689,132,75,0,10,46
17031020301,26,129,134,289,50,26,0,4,15
17031020302,40,123,152,315,84,36,0,1,27
17031020400,47,164,180,391,93,50,0,5,31
17031020500,89,289,244,622,165,40,0,5,23
17031020601,52,167,192,411,115,47,0,2,30
17031020602,66,187,168,421,114,36,0,7,17
17031020701,44,99,232,375,89,48,0,6,28
17031020702,108,275,403,786,164,82,1,9,48
17031020801,69,152,265,486,126,56,0,6,28
17031020802,107,295,401,803,199,79,0,5,55
17031020901,54,215,227,496,138,47,0,5,27
17031020902,44,219,205,468,109,46,1,2,31
17031030101,14,63,50,127,25,8,0,2,4
17031030102,21,85,69,175,36,10,0,2,6
17031030103,23,62,55,140,35,23,0,2,12
17031030104,24,72,54,150,26,11,0,2,4
17031030200,73,249,204,526,131,62,0,6,36
17031030300,44,166,153,363,83,37,0,2,26
17031030400,59,199,225,483,80,37,0,2,23
17031030500,87,290,363,740,145,89,0,5,44
17031030601,40,90,92,222,52,22,0,1,10
17031030603,27,109,113,249,37,20,0,1,10
17031030604,61,199,212,472,71,50,1,6,27
17031030701,18,55,46,119,31,3,0,1,2
17031030702,,3,8,11,3,0,0,0,0
17031030703,27,56,102,185,44,18,0,5,7
17031030706,44,71,121,236,44,37,0,17,12
17031030800,47,103,148,298,76,29,0,5,13
17031030900,48,101,192,341,78,43,0,3,24
17031031000,57,105,196,358,59,60,1,4,33
17031031100,70,106,171,347,78,37,0,3,22
17031031200,60,153,206,419,90,44,0,5,25
17031031300,51,107,156,314,72,39,1,3,20
17031031400,119,216,362,697,150,93,1,9,45
17031031501,19,50,61,130,31,18,0,2,10
17031031502,26,60,51,137,50,15,0,4,4
17031031700,46,85,132,263,72,36,0,1,22
17031031800,23,72,85,180,35,23,1,2,10
17031031900,27,58,89,174,43,13,0,1,5
17031032100,65,157,196,418,114,40,0,6,20
17031040100,55,136,269,460,101,53,0,7,24
17031040201,90,200,355,645,133,79,0,8,30
17031040202,76,163,308,547,133,46,0,5,26
17031040300,42,73,169,284,59,37,0,4,16
17031040401,32,58,125,215,48,32,0,1,15
17031040402,44,89,132,265,58,21,0,1,14
17031040600,37,81,130,248,47,29,0,0,14
17031040700,38,67,123,228,48,21,0,2,10
17031040800,19,47,87,153,27,21,0,2,6
17031040900,18,47,100,165,29,19,0,0,11
17031050100,21,49,73,143,34,16,0,1,12
17031050200,33,100,176,309,60,29,0,3,16
17031050300,36,56,132,224,48,30,0,2,14
17031050500,44,102,150,296,71,25,0,2,9
17031050600,38,63,110,211,37,28,0,1,18
17031050700,4,21,32,57,7,8,0,1,4
17031050800,8,15,29,52,8,7,0,2,2
17031050900,14,39,71,124,24,26,0,1,16
17031051000,9,48,58,115,21,11,0,0,7
17031051100,14,20,36,70,22,7,0,0,4
17031051200,4,14,26,44,7,6,0,1,4
17031051300,14,35,63,112,26,17,0,1,10
17031051400,22,41,90,153,35,29,0,0,17
17031060100,41,76,103,220,54,33,0,4,11
17031060200,17,77,102,196,34,19,0,2,8
17031060300,30,52,96,178,52,8,0,0,1
17031060400,37,91,130,258,56,28,0,5,10
17031060500,11,36,63,110,27,15,0,0,13
17031060800,35,81,99,215,49,22,0,4,14
17031060900,55,117,161,333,69,52,0,10,29
17031061000,47,53,81,181,51,25,0,5,14
17031061100,31,60,70,161,36,15,0,1,9
17031061200,16,37,43,96,25,10,0,0,9
17031061500,6,31,34,71,21,8,0,0,5
17031061800,10,25,25,60,11,8,0,1,4
17031061901,22,40,65,127,40,24,0,3,14
17031061902,59,210,228,497,87,53,1,6,23
17031062000,46,71,102,219,57,24,0,2,12
17031062100,59,122,137,318,59,42,1,2,21
17031062200,22,38,72,132,29,12,0,1,5
17031062300,8,22,38,68,15,4,0,0,2
17031062400,18,44,71,133,30,16,0,0,11
17031062500,32,63,86,181,34,21,0,5,12
17031062600,41,92,103,236,45,24,0,1,15
17031062700,49,94,137,280,59,52,0,12,23
17031062800,28,55,96,179,30,30,0,2,18
17031062900,27,54,80,161,34,16,0,1,12
17031063000,55,114,154,323,74,39,0,7,17
17031063100,41,64,83,188,47,19,0,5,7
17031063200,52,161,201,414,90,56,0,4,21
17031063301,23,31,36,90,19,6,0,0,2
17031063302,24,35,60,119,21,19,0,4,7
17031063303,9,20,40,69,19,8,0,2,4
17031063400,42,75,91,208,41,22,0,3,13
17031070101,76,174,286,536,98,81,1,12,37
17031070102,25,54,63,142,44,11,0,1,7
17031070103,18,36,43,97,25,9,0,2,2
17031070200,67,114,164,345,107,33,0,5,20
17031070300,45,74,149,268,71,46,0,8,31
17031070400,40,62,100,202,44,37,0,1,19
17031070500,26,48,76,150,43,15,0,0,9
17031070600,40,70,125,235,64,32,0,4,14
17031070700,79,166,290,535,98,65,0,3,36
17031071000,30,52,86,168,32,19,0,3,14
17031071100,43,63,114,220,49,26,0,3,14
17031071200,38,98,114,250,58,22,0,2,13
17031071300,32,59,92,183,40,15,0,3,8
17031071400,78,167,265,510,107,56,1,2,31
17031071500,160,379,603,1142,198,136,0,16,71
17031071600,14,20,26,60,15,3,0,0,2
17031071700,9,26,28,63,16,10,0,0,7
17031071800,34,49,85,168,37,32,1,5,17
17031080100,38,119,208,365,62,54,0,7,27
17031080201,16,46,69,131,26,17,0,3,8
17031080202,48,71,100,219,39,20,0,2,10
17031080300,114,154,240,508,114,62,0,6,35
17031080400,50,96,136,282,76,29,0,3,17
17031081000,122,226,334,682,127,94,2,12,49
17031081100,77,118,143,338,54,39,0,4,18
17031081201,202,343,478,1023,192,86,0,14,47
17031081202,62,180,378,620,107,102,1,14,46
17031081300,111,268,363,742,136,73,0,8,42
17031081401,227,443,599,1269,238,141,0,12,71
17031081402,120,249,459,828,132,158,0,16,93
17031081403,196,395,524,1115,198,99,0,16,55
17031081500,339,676,893,1908,325,170,0,25,100
17031081600,161,292,380,833,172,77,1,8,47
17031081700,350,798,964,2112,381,189,0,20,102
17031081800,341,700,1035,2076,404,253,1,26,143
17031081900,22,49,73,144,29,25,0,1,13
17031090100,22,40,120,182,33,28,0,1,16
17031090200,36,111,298,445,74,50,0,5,32
17031090300,9,22,83,114,25,18,0,2,11
17031100100,45,121,286,452,87,55,1,9,27
17031100200,68,176,451,695,124,97,0,16,53
17031100300,58,97,230,385,58,76,1,13,41
17031100400,14,52,111,177,35,27,0,2,19
17031100500,34,95,215,344,54,43,0,6,25
17031100600,33,117,302,452,67,64,0,5,41
17031100700,18,53,145,216,32,33,0,4,18
17031110100,42,117,278,437,84,51,0,4,31
17031110200,25,103,233,361,65,46,0,12,16
17031110300,38,100,306,444,64,95,0,13,57
17031110400,46,111,263,420,90,56,0,5,35
17031110501,34,87,220,341,77,46,0,7,19
17031110502,63,111,227,401,93,50,0,5,22
17031120100,45,118,285,448,42,67,1,12,30
17031120200,58,164,367,589,86,96,1,14,49
17031120300,33,102,210,345,59,52,0,8,21
17031120400,34,123,339,496,95,66,0,11,30
17031130100,104,248,497,849,141,104,1,12,47
17031130200,36,92,244,372,64,68,0,6,46
17031130300,31,90,206,327,84,38,1,3,20
17031140100,24,58,98,180,60,21,0,3,10
17031140200,42,93,206,341,101,55,0,6,29
17031140301,24,52,117,193,45,22,0,0,17
17031140302,19,53,91,163,56,12,0,3,5
17031140400,50,119,292,461,94,47,0,6,23
17031140500,43,57,206,306,89,44,0,4,23
17031140601,43,57,141,241,65,29,0,4,11
17031140602,31,56,138,225,76,28,1,4,10
17031140701,37,72,125,234,82,27,0,4,15
17031140702,52,87,194,333,128,41,0,8,25
17031140800,56,87,205,348,97,49,0,2,29
17031150200,122,247,585,954,219,119,0,19,64
17031150300,63,144,396,603,162,74,0,7,39
17031150401,37,85,194,316,71,47,0,7,28
17031150402,25,81,142,248,56,37,0,12,17
17031150501,17,37,94,148,43,21,0,4,14
17031150502,55,112,229,396,82,33,0,4,20
17031150600,32,81,183,296,81,47,0,5,21
17031150700,29,94,171,294,80,34,0,1,23
17031150800,32,94,205,331,89,46,0,13,20
17031151001,16,45,88,149,53,14,0,4,9
17031151002,67,186,272,525,147,65,0,5,43
17031151100,29,117,231,377,108,44,0,6,26
17031151200,22,116,167,305,81,36,0,8,15
17031160100,37,75,224,336,68,48,0,4,29
17031160200,36,63,183,282,66,40,0,12,22
17031160300,51,131,304,486,122,52,0,4,28
17031160400,52,107,322,481,145,56,0,3,30
17031160501,28,65,142,235,84,25,0,1,18
17031160502,29,66,178,273,63,48,0,4,29
17031160601,20,26,79,125,46,13,0,1,6
17031160602,28,61,139,228,65,31,0,5,13
17031160700,48,101,244,393,83,41,0,3,28
17031160800,77,163,359,599,143,83,0,5,40
17031160900,50,78,215,343,110,38,0,4,18
17031161000,41,83,229,353,87,41,0,9,14
