CTID,FBI2,FBI3,FBI5,FBI6,FBI7,FBI9,FBI10,FBI11,FBI12,FBI13,FBI14,FBI15,FBI16,FBI17,FBI18,FBI19,FBI20,FBI22,FBI24,FBI26,FBI01A,FBI01B,FBI04A,FBI04B,FBI08A,FBI08B,CrimeTotal
17031010100,4,22,21,79,6,2,0,12,0,0,180,12,0,0,21,0,5,0,2,46,1,0,11,11,28,113,576
17031010201,2,15,24,92,15,0,1,21,0,0,59,1,0,5,6,0,3,0,4,49,0,0,10,6,23,81,417
17031010202,1,24,7,310,8,0,4,19,0,0,39,3,0,4,9,0,5,0,6,88,1,0,15,10,51,85,689
17031010300,6,21,24,91,11,0,1,26,0,0,27,1,0,6,5,0,2,0,3,30,1,0,2,4,22,70,353
17031010400,2,10,15,75,6,0,3,18,0,0,22,2,0,1,2,0,1,0,1,34,1,0,4,2,22,49,270
17031010501,3,7,6,63,6,0,0,12,0,1,14,2,0,2,1,0,2,0,1,17,1,0,1,6,11,31,187
17031010502,0,6,6,49,4,0,0,11,0,0,12,0,0,1,2,0,0,0,0,9,0,0,4,2,8,20,134
17031010503,2,10,7,53,4,0,0,8,0,0,9,0,0,3,0,0,0,0,1,10,0,0,0,0,4,21,132
17031010600,1,10,19,85,8,0,3,16,0,0,33,4,0,5,4,0,3,0,3,17,0,0,1,5,24,46,287
17031010701,1,5,14,31,11,0,1,5,0,0,21,0,0,3,2,0,1,0,0,22,0,0,2,2,3,26,150
17031010702,2,7,14,42,10,1,1,17,0,0,20,2,0,2,5,0,4,0,1,20,1,0,3,3,17,54,226
17031020100,0,7,15,56,11,0,1,7,0,0,39,0,0,2,1,0,0,0,3,22,0,0,8,3,8,25,208
17031020200,1,3,23,69,6,1,2,20,0,0,38,2,0,2,3,0,0,0,0,27,1,0,4,2,10,31,245
17031020301,1,3,12,31,3,0,1,8,0,0,9,0,0,2,2,0,1,0,0,15,0,0,0,1,3,9,101
17031020302,2,4,20,44,7,0,4,20,0,0,34,1,0,0,3,0,5,0,0,23,1,0,5,1,14,27,215
17031020400,0,8,15,44,7,0,2,17,0,0,38,2,0,2,2,0,2,0,0,14,0,0,4,4,12,39,212
17031020500,3,16,12,70,16,1,2,21,0,0,26,1,0,2,8,1,4,3,1,27,0,0,8,5,16,68,311
17031020601,2,4,21,56,13,1,0,20,1,0,27,1,0,0,3,0,2,0,1,27,0,0,7,7,17,35,245
17031020602,1,10,16,57,17,1,5,15,0,0,24,0,0,3,0,0,0,0,0,26,0,0,6,3,9,47,240
17031020701,1,7,20,46,4,0,3,14,0,0,19,3,0,3,6,0,1,1,0,21,0,0,6,1,10,40,206
17031020702,2,10,35,66,19,0,2,19,0,0,43,2,0,1,3,0,2,1,0,21,2,1,9,7,18,63,326
17031020801,1,5,19,56,16,0,2,24,0,0,38,5,0,1,3,0,2,2,1,25,0,0,3,3,18,36,260
17031020802,6,24,35,77,19,0,2,21,0,0,36,4,0,0,9,1,5,1,3,31,1,0,7,11,18,64,375
17031020901,0,17,15,57,16,1,1,21,0,0,50,8,0,1,3,0,2,1,1,39,0,0,7,6,19,59,324
17031020902,0,11,2,37,9,1,2,8,0,0,21,2,0,0,3,0,1,1,0,17,0,0,2,0,9,23,149
17031030101,2,1,1,35,7,0,0,20,0,0,11,0,0,2,0,0,1,0,1,15,0,0,1,4,10,38,149
17031030102,3,1,12,41,5,0,0,8,0,0,14,0,0,0,2,0,2,0,0,9,0,0,3,2,3,26,131
17031030103,0,3,5,26,5,0,0,5,0,0,12,1,0,0,0,0,0,0,0,4,0,0,0,0,3,11,75
17031030104,2,2,1,15,1,0,0,7,0,0,4,0,0,0,0,0,0,0,0,8,0,0,1,0,5,10,56
17031030200,2,10,23,102,19,0,4,24,0,0,26,0,0,1,2,0,0,0,2,18,0,0,6,1,16,26,282
17031030300,1,4,1,22,8,0,0,7,0,0,15,1,0,1,0,0,1,0,0,15,0,0,2,0,5,22,105
17031030400,1,2,4,25,3,0,0,21,0,0,14,0,0,0,0,0,0,0,0,5,0,0,3,3,10,20,111
17031030500,3,7,20,85,12,0,3,26,0,0,38,1,0,4,4,0,1,0,1,34,0,0,3,2,23,77,344
17031030601,5,5,8,50,7,0,3,15,0,0,44,1,0,2,0,0,0,0,0,14,0,0,7,3,7,28,199
17031030603,1,6,10,40,3,0,3,16,0,0,8,1,0,1,0,0,0,2,0,13,0,0,2,0,3,20,129
17031030604,2,4,5,23,2,0,3,12,0,0,11,0,0,1,2,0,0,0,1,10,0,0,4,2,7,34,123
17031030701,2,3,3,20,1,0,0,7,0,0,6,0,0,1,1,0,0,0,0,7,0,0,3,1,7,20,82
17031030702,0,1,0,10,0,0,1,7,0,0,4,0,0,0,1,0,0,0,0,9,0,0,0,2,3,5,43
17031030703,1,9,15,41,4,0,1,15,0,0,15,1,0,4,0,0,0,1,0,19,0,0,6,4,12,28,176
17031030706,1,2,2,88,0,1,0,7,0,0,11,0,0,1,1,0,0,0,0,18,0,1,3,2,11,22,171
17031030800,1,9,28,106,10,0,1,23,0,0,37,0,0,3,3,0,0,0,2,34,0,0,4,2,11,25,299
17031030900,0,8,12,79,8,1,4,30,0,0,19,0,0,2,1,0,0,1,0,20,0,0,1,2,1,31,220
17031031000,3,2,20,41,7,0,0,23,0,1,24,1,0,2,0,0,1,0,0,12,0,0,1,0,3,19,160
17031031100,0,7,35,72,12,0,2,33,0,0,21,1,0,0,0,0,1,0,1,11,0,0,0,2,10,26,234
17031031200,6,21,25,95,16,1,7,31,0,0,31,5,0,1,10,1,4,0,5,34,0,0,4,9,40,114,460
17031031300,7,3,6,71,7,0,2,29,0,0,27,0,0,3,1,0,2,0,2,36,0,0,1,4,14,53,268
17031031400,7,8,5,95,9,0,3,31,0,0,25,3,0,6,3,0,0,0,2,33,0,0,3,7,18,50,308
17031031501,4,3,5,45,13,1,1,13,0,0,17,0,0,6,4,0,3,0,2,27,0,0,5,12,18,38,217
17031031502,3,2,9,65,7,0,2,23,0,0,13,2,0,1,4,0,1,0,2,17,1,0,1,3,6,35,197
17031031700,5,8,17,83,13,0,1,31,1,0,36,6,0,1,6,0,3,0,4,63,0,0,5,11,27,88,409
17031031800,0,4,6,30,2,0,0,11,0,0,12,0,0,1,1,0,1,0,0,11,0,0,0,1,1,8,89
17031031900,0,2,7,25,5,0,0,13,0,0,8,0,0,0,2,0,0,0,0,5,0,0,1,1,3,9,81
17031032100,4,16,23,132,18,0,3,55,0,0,42,0,0,1,2,0,4,0,1,40,0,0,8,4,28,70,451
17031040100,0,1,7,80,15,1,1,19,0,0,30,0,0,5,3,0,2,0,1,19,0,0,5,5,11,70,275
17031040201,7,3,23,66,17,0,0,32,0,0,33,2,0,1,10,0,2,1,2,36,0,0,6,7,18,43,309
17031040202,5,8,19,80,13,0,5,25,0,0,32,4,0,3,9,0,2,0,1,34,1,0,6,5,20,64,336
