CTID,Park_n,Park_rate
17031839100,49644.59105,9.650834968
17031081401,9252.785919,9.366660482
17031081402,3659.464537,9.348550019
17031320100,17269.67444,8.908158811
17031081600,3705.64615,8.565297967
17031081700,9665.662793,8.448774066
17031081500,9537.156536,8.253291014
17031080100,691.0545521,7.99777207
17031281900,7286.887227,7.162835679
17031839000,7904.664458,6.7062794
17031081300,9573.470513,6.516177497
17031081201,8764.425182,6.500502346
17031081800,9773.685381,6.24237305
17031081100,1379.575008,6.045346277
17031081000,2918.813679,5.995612283
17031838300,2737.179509,5.502453084
17031280100,7071.389681,5.331942773
17031080201,473.3935885,5.049690174
17031080202,545.5735711,5.005056903
17031081900,847.2729352,4.998639124
17031080300,1268.441357,4.997622536
17031080400,1259.794047,4.995660964
17031842200,9763.087932,4.825366582
17031320400,10061.24134,4.490253681
17031081403,25451.27368,4.186903325
17031071800,460.880013,4.000616371
17031071600,230.8374733,4
17031071700,227.7272167,4
17031071300,440.7658916,4
17031071200,463.0652307,3.999829503
17031832600,2692.218191,3.754818282
17031071100,1204.095828,3.754774191
17031071000,1219.070767,3.749873309
17031320600,7233.302563,3.311688311
17031832500,2751.746874,3.276716284
17031070103,154.80958,3.25579039
17031070200,767.0365699,3.25023881
17031063100,358.6727533,3.25
17031063301,210.884852,3.25
17031063302,272.3316602,3.25
17031063400,356.8988003,3.25
17031070102,280.2007148,3.25
17031063303,531.6172108,3.25
17031243500,1958.520346,3.011093903
17031833100,3432.804805,3.004116774
17031841900,14880.95737,2.982018454
17031842300,6502.656839,2.917596709
17031060500,304.8399244,2.75
17031060400,434.0342615,2.75
17031061100,231.0658857,2.75
17031061200,233.2487489,2.75
17031061500,217.5457418,2.75
17031062400,217.5807296,2.75
17031062200,323.59399,2.749994768
17031062300,218.1249675,2.749915923
17031832000,223.0104705,2.745441636
17031832100,295.4424543,2.745031188
17031061000,229.4731367,2.742615255
17031062100,324.6214037,2.740522275
17031070300,708.3801983,2.514690397
17031063000,708.1806218,2.511761278
17031070500,667.4041065,2.502258502
17031070600,749.7408227,2.50194627
17031070400,708.191596,2.500712544
17031062700,709.3495233,2.500126933
17031062800,710.5586948,2.500044684
17031062900,710.8642402,2.500018496
17031833300,662.2851163,2.431337355
17031831900,372.646511,2.382623672
17031071500,1318.150465,2.286508192
17031071400,1085.338324,2.274783311
17031040600,376.7819788,2.25
17031040900,366.0866924,2.25
17031830800,382.7851761,2.25
17031050200,741.648558,2.249498247
17031050100,380.400172,2.249077194
17031330100,8414.536037,2.235586144
17031060200,360.0282223,2.231562963
17031081202,8260.317936,2.112286228
17031070101,1732.770903,2.09501947
17031330200,727.1598673,2.037155367
17031243400,518.3786227,2.016784598
17031060300,307.8721053,2.015962976
17031062500,155.1553478,2.009790478
17031061901,93.15464838,2.005593094
17031062000,129.8956138,2.003629588
17031040800,143.4314807,2.002946236
17031050300,247.0570581,2.002514231
17031040700,222.4738141,2.001869269
17031241600,700.1483444,2.000275006
17031160300,741.0022186,2
17031230500,783.5311332,2
17031020601,249.0301092,2
17031831200,781.3813175,2
17031160601,245.1806333,2
17031010501,75.03710175,2
17031220602,389.5079188,2
17031221000,137.3823916,2
17031150800,243.6869832,2
17031160200,1686.760955,2
17031600400,322.6005803,2
17031010600,184.1792641,2
17031210400,728.8071819,2
17031220701,222.8443602,2
17031241200,569.2857651,2
17031140602,196.5236011,2
17031200401,612.1189783,2
17031221100,274.0930117,2
17031310400,211.6327414,2
17031300800,147.6139485,2
17031220902,206.8811822,2
17031241400,898.3000137,2
17031010503,72.82360934,2
17031161000,274.8996823,2
17031161200,327.2258429,2
17031242000,573.5747912,2
17031200300,379.0273483,2
17031210601,229.2930931,2
17031340300,210.8775717,2
17031220500,254.3068864,2
17031230200,130.9413033,2
17031220400,249.9349096,2
17031340400,286.6187108,2
17031220601,158.3485215,2
17031210602,319.0010438,2
17031832900,510.2843026,2
17031020400,323.5329591,2
17031020701,413.8731281,2
17031050500,623.1374253,2
17031050600,317.455149,2
17031050800,155.472676,2
17031050900,155.3797606,2
17031061800,47.4278802,2
17031140601,139.1297918,2
17031140800,447.2472477,2
17031160100,1048.190602,2
17031160900,1097.880846,2
17031161100,362.0682527,2
17031170200,134.2367955,2
17031190100,553.1250124,2
17031190900,550.4787293,2
17031210501,262.5494349,2
17031210502,290.1124482,2
17031210700,377.3476864,2
17031210800,123.6302411,2
17031220901,183.1061298,2
17031221200,159.6305843,2
17031222500,76.53069368,2
17031222600,77.58779511,2
17031222800,69.54050484,2
17031222900,136.344248,2
17031230300,65.32542791,2
17031240700,78.85260207,2
17031240800,80.1698092,2
17031241300,284.6830357,2
17031300500,119.9940802,2
17031300600,145.2957374,2
17031300900,444.2654704,2
17031301100,287.9424654,2
17031301200,654.5269087,2
17031301701,146.4432979,2
17031630800,308.5637561,2
17031660302,231.4130576,2
17031839800,71.93827075,2
17031283800,756.3139119,2
17031140701,117.1247352,2
17031230100,79.46685523,2
17031140100,170.0725059,2
17031831700,574.7592124,2
17031840100,331.0089973,2
17031010702,199.5842311,2
17031221400,171.5191399,2
17031200402,551.0796207,2
17031160501,176.9591647,2
17031221300,159.4771207,2
17031220300,247.306971,2
17031161300,321.6020599,2
17031200200,1431.888162,2
17031020302,269.0001003,2
17031220702,643.5835578,2
17031010502,66.95055592,2
17031160400,338.6134162,2
17031222700,140.8613343,2
17031050700,156.9144462,2
17031040300,453.4443628,2
17031140500,787.9192611,2
17031140702,218.9321712,2
17031340500,117.7908918,2
17031191000,660.120502,2
17031200100,1026.613285,2
17031020602,207.8356685,1.999979396
17031160502,160.461917,1.999964172
17031150700,242.6499157,1.999912663
17031010701,250.3178702,1.999806044
17031151100,242.1116089,1.999777781
17031150600,136.1134568,1.999771031
17031151002,316.4811815,1.999587153
17031030200,560.7008188,1.999578312
17031151200,135.8601062,1.999447236
17031151001,120.9914547,1.999393198
17031241500,527.6849545,1.999217469
17031020200,1459.194723,1.999158656
17031160602,320.5276178,1.998905054
17031310800,702.6894502,1.998699928
17031283200,146.4600219,1.998344121
17031171100,137.2930809,1.998178721
17031830600,359.7998794,1.997689427
17031283100,132.0051074,1.997662456
17031210900,440.6640769,1.99736144
17031340600,127.6869258,1.997151473
17031020500,450.0894428,1.997115311
17031020801,459.102405,1.996687101
17031310900,1030.174643,1.996657532
17031840000,159.9234118,1.996043775
17031031800,248.8192708,1.995860311
17031030500,522.4859667,1.995427313
17031051200,161.218107,1.995100527
17031840800,149.0804546,1.995012814
17031230400,208.6792145,1.994814066
17031020802,450.8081095,1.994768898
17031310700,242.2830854,1.994457363
17031831100,2189.356346,1.994131584
17031243300,509.8360553,1.994038684
17031242100,567.7933703,1.993782352
17031242200,566.0030836,1.993719086
17031242300,568.265545,1.99354004
17031310600,832.4605757,1.993389605
17031242400,567.76092,1.993333944
17031310500,277.2491474,1.993300648
17031051100,160.9665444,1.993014017
17031040202,347.2347694,1.992981994
17031301600,145.6982277,1.992788761
17031040201,425.520048,1.992144053
17031660301,76.5890868,1.992017637
17031300700,145.2024779,1.990855082
17031160800,1096.019582,1.987962938
17031030603,98.90319599,1.985860777
17031832400,164.8057586,1.985552421
17031020301,361.8625833,1.982732455
17031051000,167.7859716,1.981500767
17031301702,145.930995,1.9768509
17031240600,87.29674415,1.971846619
17031221500,163.6607481,1.971335584
17031350400,201.9998959,1.970413848
17031310300,546.4642668,1.956377834
17031031900,269.0879988,1.951559308
17031351500,48.98200878,1.948213013
17031063200,950.0097863,1.917619463
17031841100,1463.703522,1.904856328
17031841200,1188.510333,1.748482432
17031020702,713.1756752,1.733932042
17031060800,114.0215161,1.595949537
17031831800,1435.005258,1.568893702
17031030104,118.7554483,1.568145093
17031832300,2217.091097,1.557565689
17031030400,252.3939086,1.548893867
17031030300,226.0414823,1.514776126
17031241100,87.69170737,1.51406242
17031833000,7803.240796,1.512863738
17031032100,389.8655195,1.512059279
17031020100,299.0372044,1.511523497
17031140200,305.7559556,1.51148215
17031140301,127.104241,1.510063528
17031060100,295.2369367,1.510053237
17031031501,144.4843692,1.508608956
17031031502,145.6819904,1.507361395
17031150200,683.452965,1.507352307
17031190200,357.187481,1.504788767
17031190800,357.1279762,1.504346573
17031830700,786.1100644,1.50375517
17031241000,47.69439539,1.503120197
17031240900,227.0446262,1.50108298
17031838200,18364.42753,1.500825778
17031010201,368.3672282,1.500808074
17031282800,2610.560884,1.500418274
17031150300,662.7146935,1.500276702
17031190300,349.5750019,1.500001306
17031190702,203.0271929,1.5
17031020901,348.5372283,1.5
17031020902,360.20423,1.5
17031031700,431.3642384,1.5
17031140302,329.0047563,1.5
17031190701,147.1079725,1.5
17031280900,1828.612244,1.5
17031411200,48.29691189,1.5
17031580502,192.5721195,1.5
17031838000,8546.165574,1.5
17031836200,97.65385546,1.5
17031242500,79.76847663,1.499780887
17031580501,191.7025482,1.499606315
17031580600,191.9214965,1.49929198
17031250500,1407.811728,1.498334887
17031691300,143.8246513,1.497853345
17031411100,33.9174152,1.497461965
17031430800,197.1482238,1.497187023
17031430600,197.242727,1.496644324
17031720300,429.2037707,1.496536971
17031691000,142.7650422,1.495246786
17031431200,392.8937012,1.494733833
17031242600,107.7357762,1.494427926
17031690900,145.2227465,1.492153896
17031691400,146.2393226,1.491902588
17031242700,39.86287195,1.491521976
17031430900,201.8968089,1.49024695
17031430500,202.3567583,1.489790796
17031420300,29.37343353,1.487403186
17031420200,33.32867043,1.485461269
17031420400,29.36678716,1.485207479
17031835000,418.3814572,1.479358975
17031835100,418.0723056,1.476260158
17031010202,249.6038983,1.468613322
17031030102,120.8100327,1.431926963
17031030601,150.5932287,1.415179554
17031838100,10657.4764,1.401764991
17031031400,1308.691299,1.387683163
17031580800,93.88719826,1.37425262
17031580700,284.401036,1.370835954
17031030103,108.0110642,1.365685496
17031843500,1877.384679,1.357081526
17031839900,1213.058475,1.346331563
17031060900,345.9560146,1.337634623
17031030604,160.0472083,1.335004662
17031031200,441.1499706,1.334325278
17031031100,743.3254612,1.334206323
17031030703,268.4705406,1.333333333
17031030701,94.60994447,1.333333333
17031030800,768.2418183,1.333333333
17031030702,11.23580515,1.333333333
