CTID,D3a,D3aao,D3amm,D3apo,D3b,D3bao,D3bmm3,D3bmm4,D3bpo3,D3bpo4
17031010100,19.71445489,0,1.327252388,18.38722193,85.84259688,0,13.59497492,6.181678607,66.45419216,26.26799773
17031010201,23.76327829,0,6.219865572,17.54340689,104.8410898,0,66.73784458,6.410218755,46.20494508,23.09785661
17031010202,20.90712091,0,8.599361399,12.30776524,114.1851188,0,73.64133719,22.09033521,47.86854208,11.04779698
17031010300,21.42925262,0,2.653941264,18.7753103,106.0076465,0,18.90903196,16.29953125,21.63076735,62.66816027
17031010400,13.72756085,0,0.537137307,13.19039243,69.32318381,0,6.923640815,8.920576612,64.62109024,12.68220544
17031010501,19.15801539,0,0.711872906,18.44613617,60.87413712,0,12.81371231,0,25.62755517,35.23379915
17031010502,23.61720417,0,4.281565787,19.33564926,102.9359659,0,28.71711597,14.35925001,50.25711466,35.90084858
17031010503,23.04283623,0,4.544617155,18.49819996,80.01690905,0,53.32329201,6.66538678,46.658103,6.664008402
17031010600,24.96141949,0,3.12583195,21.83559817,104.2277914,0,41.85890664,7.848748888,6.539079342,64.09759105
17031010701,22.35142656,0,6.273331281,16.0780954,104.984327,0,30.13210834,25.61304315,30.13228852,39.17493544
17031010702,19.62117549,0,4.906362578,14.71478072,82.08131028,0,3.620489131,39.83245838,10.86134458,32.58957342
17031020100,18.05118056,0,2.646311079,15.40486972,49.86417509,0,18.88832253,0,34.63144955,14.16646583
17031020200,22.17268665,0,3.079474109,19.09321682,135.2189397,0,8.339919262,25.02365542,64.64482518,61.51441625
17031020301,17.97426051,0,0.756474918,17.21778971,79.24286226,0,0,6.273393009,77.65170686,21.1755347
17031020302,24.73503406,0,1.389343864,23.345682,206.4875548,0,2.023336694,6.070576186,198.3328311,66.77952183
17031020400,19.61562173,0,0.059321954,19.55629401,66.84174572,0,0,4.661010699,44.29368867,32.63682929
17031020500,20.87222831,0,2.074015062,18.79822666,147.4601568,0,5.033874201,13.42740763,154.4027284,27.68888937
17031020601,25.4596433,0,4.501350578,20.95829304,68.9732326,0,0,32.84437807,6.568222756,31.74786734
17031020602,24.75759728,0,1.848636813,22.90895585,64.47699149,0,0,13.1573839,7.89177751,46.05581682
17031020701,28.26342692,0,5.238709037,23.02466954,218.9679683,0,46.69649371,12.24113534,209.9811084,35.52284365
17031020702,20.65149177,0,1.835575242,18.81591782,69.06356534,0,6.6367182,13.24718759,34.9369309,28.08678541
17031020801,23.13628214,0,3.74488389,19.39139619,72.72121041,0,17.76678896,22.7003552,9.870852039,31.58661488
17031020802,23.51470011,0,0.553145187,22.9615545,90.83191628,0,0,2.009416158,38.20709954,63.33832938
17031020901,24.15130728,0,0,24.1513016,76.26232554,0,0,0,66.48994425,31.913531
17031020902,22.02517453,0,2.785021874,19.24015245,117.1242463,0,28.3020441,7.718065939,79.78103606,37.31495467
17031030101,22.42984678,0,0,22.42982015,46.19689365,0,0,0,0,46.19689244
17031030102,9.755704035,0,0,9.755715315,25.8389018,0,0,0,0,25.83889241
17031030103,19.47959912,0,0,19.47958426,42.04968395,0,0,0,0,42.04968108
17031030104,12.51707076,0,0,12.51705721,3.576851595,0,0,0,0,3.576851677
17031030200,23.69568102,0,4.467352383,19.2283188,114.3681872,0,20.4062277,32.06918093,30.12976025,48.59165257
17031030300,23.80287756,0,5.405333802,18.39753184,76.25723266,0,28.85185048,14.42444539,14.41975163,32.9706156
17031030400,25.59394612,0.53111423,4.424083756,20.63873405,96.56205454,7.471694362,24.2907999,18.68676782,33.63511023,39.23893955
17031030500,25.39701995,0,4.24886901,21.14813069,99.17227306,0,23.04093834,26.18401535,43.99033655,28.27852427
17031030601,14.72591185,0,0,14.72589579,68.83066052,0,0,0,27.03678013,50.79712433
17031030603,15.91998455,0,2.777088321,13.14289663,42.80046926,0,0,11.16339468,22.32818431,16.74419169
17031030604,25.87821845,2.139249794,2.708220563,21.030758,214.6521437,9.566640335,5.00013637,9.133007929,244.4139346,39.1602743
17031030701,18.8728008,0,2.850429779,16.02241581,58.6716995,0,18.52279281,18.52279281,0,27.79419073
17031030702,35.87276827,0,1.315696119,34.55709292,104.2544417,0,156.3036829,0,0,0
17031030703,18.81483212,0,2.048628218,16.76618602,57.71007931,0,13.06035092,19.60247875,0,29.39636484
17031030706,32.11196531,7.247030278,3.592565133,21.27235695,171.7470311,11.69987107,5.843556105,11.69987107,146.3440797,58.5376319
17031030800,22.30173405,0,3.035874515,19.26584907,47.54653725,0,13.69191639,9.128697028,7.983892189,23.96006417
17031030900,25.49207883,0,3.351674576,22.14041034,130.9801185,0,12.67307331,25.34449788,60.19801508,57.030811
17031031000,19.63240665,0,2.00555968,17.62684821,65.00931818,0,0,21.3275579,24.37486474,27.42371444
17031031100,20.23378563,0,1.743060415,18.49074461,110.7001336,0,16.48127719,7.062064614,103.6053666,23.54024073
17031031200,21.84267191,0,4.735556625,17.10711496,93.22720779,0,11.89563753,23.79411673,59.50036635,21.81202047
17031031300,39.34800756,8.413270234,1.093127443,29.84158828,301.9069243,13.09870935,4.713097433,7.588589546,236.0332704,133.7402165
17031031400,38.41744768,5.034293032,1.053761868,32.32937544,231.1557339,12.57847295,8.218354615,7.194940221,190.9548425,91.11235839
17031031501,12.82556982,0,3.354163009,9.471398952,26.90587821,0,16.14028055,16.14028055,0,0
17031031502,26.58388291,0,7.103968757,19.47989886,112.1392465,0,32.03268229,56.06308672,16.02157595,24.02384009
17031031700,23.18873082,0,6.218788827,16.96994317,122.991159,0,43.4026173,18.98672687,27.12872943,56.960062
17031031800,20.2308998,0,0.210009388,20.02089496,57.8213997,0,0,0,16.5207385,46.80209212
