CTID,C000,EMP_DEN,CA01,CA02,CA03,CE01,CE02,CE03,NS01,NS02,NS03,NS04,NS05,NS06,NS07,NS08,NS09,NS10,NS11,NS12,NS13,NS14,NS15,NS16,NS17,NS18,NS19,NS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
17001000100,7247,#N/A,1496,3949,1802,1438,3090,2719,0,0,0,101,2113,323,1500,393,19,1079,420,162,51,43,106,116,3,475,343,0,6827,309,13,51,4,43,7160,87,665,2165,1956,965,4182,3065
17001000201,1003,#N/A,192,527,284,162,484,357,0,0,0,62,448,197,209,4,0,0,1,0,0,16,19,1,3,10,33,0,973,18,4,4,0,4,992,11,110,315,263,123,787,216
17001000202,523,#N/A,85,240,198,216,185,122,0,0,0,15,6,11,6,0,0,27,0,3,0,23,291,4,15,74,48,0,493,15,0,8,0,7,517,6,45,135,127,131,214,309
17001000400,1699,#N/A,338,917,444,272,488,939,0,0,0,34,172,200,150,118,4,2,1,18,0,139,0,804,0,56,1,0,1591,81,5,13,0,9,1660,39,139,484,492,246,843,856
17001000500,3217,#N/A,750,1741,726,543,1265,1409,0,0,0,9,0,3,231,0,1,0,0,3,0,376,28,2482,0,64,20,0,3060,93,4,36,3,21,3172,45,215,774,911,567,647,2570
17001000600,2992,#N/A,805,1426,761,1115,1165,712,0,0,0,41,42,2,137,3,0,212,17,180,0,176,1149,330,17,575,95,16,2809,142,3,14,1,23,2949,43,222,694,753,518,1012,1980
17001000700,4481,#N/A,852,2479,1150,1075,1849,1557,0,0,11,99,171,396,233,11,337,184,61,230,38,138,8,943,35,565,185,836,4215,203,6,26,0,31,4434,47,369,1173,1221,866,2092,2389
17001000800,1249,#N/A,231,679,339,238,536,475,0,0,19,94,431,60,70,0,0,0,2,2,0,102,85,310,8,21,30,15,1159,61,5,9,0,15,1229,20,112,368,336,202,663,586
17001000900,386,#N/A,81,215,90,152,150,84,0,0,0,6,1,2,23,2,0,85,0,80,0,12,48,55,0,41,31,0,366,14,1,2,0,3,380,6,28,99,98,80,130,256
17001001001,229,#N/A,68,104,57,111,72,46,0,0,0,19,0,16,2,0,0,3,0,8,0,9,0,7,73,59,13,20,222,1,0,3,0,3,227,2,11,60,60,30,110,119
17001001002,981,#N/A,427,356,198,468,383,130,0,0,0,15,0,0,423,0,6,4,0,42,0,1,0,455,0,26,9,0,899,58,3,9,0,12,967,14,57,209,214,74,308,673
17001001100,3428,#N/A,1109,1549,770,1550,1174,704,0,0,0,184,254,14,840,4,18,138,35,69,0,31,16,565,124,403,283,450,3209,161,8,27,0,23,3360,68,267,815,733,504,1606,1822
17001010100,659,#N/A,113,348,198,209,278,172,76,0,7,76,38,105,31,29,4,32,0,0,0,5,108,88,0,33,14,13,653,4,1,1,0,0,652,7,43,191,200,112,366,293
17001010200,920,#N/A,177,481,262,281,339,300,18,0,45,44,4,143,58,19,60,79,0,13,0,3,179,152,0,40,15,48,909,3,0,2,0,6,916,4,67,288,233,155,425,495
17001010300,565,#N/A,112,317,136,178,253,134,15,0,0,85,32,29,16,22,12,49,3,4,0,28,212,0,0,21,17,20,557,3,1,1,0,3,552,13,57,173,130,93,287,278
17001010400,2078,#N/A,436,1183,459,217,752,1109,8,0,7,197,1236,227,172,112,0,0,11,3,20,19,12,0,6,0,46,2,1983,75,4,7,1,8,2043,35,222,673,533,214,1684,394
17001010500,480,#N/A,101,256,123,180,175,125,42,0,0,36,69,0,41,0,1,50,7,9,0,64,0,2,19,85,55,0,469,8,1,2,0,0,478,2,29,150,137,63,317,163
17001010600,1785,#N/A,586,829,370,667,646,472,26,187,0,111,192,131,617,86,0,23,13,34,0,17,0,16,60,249,22,1,1674,77,4,13,0,17,1746,39,151,492,374,182,1107,678
