CTID,A_TRIP,P_TRIP,A_SHARE,P_SHARE,P_SHARE_PCT,A_TRIP_W,P_TRIP_W,A_SHARE_W,P_SHARE_W,P_SHARE_PCT_W,A_EMPTY,P_EMPTY,A_EMPTY_W,P_EMPTY_W
17031010100,170,165,63,60,0.363636364,196,188,67,67,0.356382979,350,356,352,363
17031010201,213,211,90,87,0.412322275,246,239,95,93,0.389121339,303,319,309,330
17031010202,167,190,66,76,0.4,168,209,59,76,0.363636364,180,153,133,132
17031010300,230,232,85,81,0.349137931,289,285,93,91,0.319298246,242,239,304,285
17031010400,395,326,110,87,0.266871166,518,391,123,92,0.235294118,318,287,324,405
17031010501,176,175,59,59,0.337142857,226,221,66,68,0.307692308,140,151,154,188
17031010502,186,192,60,61,0.317708333,272,273,74,80,0.293040293,648,625,754,730
17031010503,195,222,56,67,0.301801802,301,313,68,80,0.255591054,216,173,314,248
17031010600,319,324,106,104,0.320987654,439,436,125,127,0.291284404,363,372,446,436
17031010701,129,115,47,46,0.4,125,120,42,44,0.366666667,435,440,485,483
17031010702,208,212,75,78,0.367924528,259,249,85,87,0.34939759,145,163,178,205
17031020100,108,121,45,50,0.41322314,123,125,51,50,0.4,93,91,98,95
17031020200,137,141,58,57,0.404255319,134,140,54,53,0.378571429,161,131,173,165
17031020301,88,91,36,36,0.395604396,78,86,31,34,0.395348837,126,118,106,95
17031020302,102,111,44,45,0.405405405,104,111,42,44,0.396396396,88,86,98,111
17031020400,119,125,52,53,0.424,134,136,54,53,0.389705882,80,112,124,115
17031020500,179,197,84,85,0.431472081,215,216,93,89,0.412037037,181,193,198,226
17031020601,98,111,44,45,0.405405405,101,107,42,43,0.401869159,219,219,184,183
17031020602,108,123,47,49,0.398373984,142,148,57,55,0.371621622,111,96,121,101
17031020701,115,102,47,41,0.401960784,101,98,38,38,0.387755102,271,274,212,214
17031020702,145,166,62,66,0.397590361,158,167,60,62,0.371257485,92,105,122,128
17031020801,164,185,68,76,0.410810811,192,202,72,75,0.371287129,157,183,208,191
17031020802,189,220,80,91,0.413636364,226,247,95,101,0.408906883,121,174,180,172
17031020901,168,184,81,81,0.440217391,192,198,86,84,0.424242424,127,161,150,134
17031020902,158,175,68,73,0.417142857,184,189,75,76,0.402116402,424,418,417,424
17031030101,211,226,65,70,0.309734513,293,294,78,82,0.278911565,808,822,1029,1056
17031030102,161,167,49,55,0.329341317,205,205,55,60,0.292682927,143,119,160,171
17031030103,170,175,51,57,0.325714286,244,236,63,69,0.292372881,178,143,172,233
17031030104,134,143,40,46,0.321678322,205,173,49,48,0.277456647,123,120,133,158
17031030200,345,353,100,103,0.291784703,456,445,117,117,0.262921348,299,292,346,388
17031030300,140,149,45,56,0.375838926,188,188,50,62,0.329787234,114,126,142,166
17031030400,172,184,48,59,0.320652174,250,252,55,63,0.25,179,166,252,226
17031030500,404,397,112,110,0.277078086,546,517,126,122,0.235976789,324,373,377,473
17031030601,156,156,47,51,0.326923077,219,200,58,60,0.3,208,194,214,273
17031030603,163,166,50,53,0.319277108,221,217,58,63,0.290322581,120,134,195,185
17031030604,174,159,53,54,0.339622642,239,209,66,64,0.306220096,111,143,168,182
17031030701,135,132,40,45,0.340909091,165,169,43,51,0.301775148,140,126,123,159
17031030702,85,89,25,32,0.359550562,92,95,23,33,0.347368421,77,75,88,75
17031030703,217,247,61,73,0.295546559,291,329,68,84,0.255319149,1188,1176,1179,1173
17031030706,192,206,59,66,0.32038835,231,238,63,71,0.298319328,158,176,165,198
17031030800,353,341,85,90,0.263929619,523,480,104,106,0.220833333,328,307,459,449
17031030900,395,420,96,113,0.269047619,606,667,121,136,0.203898051,503,359,686,572
17031031000,397,406,101,107,0.263546798,570,636,118,132,0.20754717,404,359,571,518
17031031100,493,495,120,123,0.248484848,776,802,153,157,0.195760599,525,504,845,716
17031031200,464,435,126,123,0.282758621,697,700,156,162,0.231428571,550,512,801,757
17031031300,388,375,112,102,0.272,523,499,129,120,0.240480962,253,329,387,439
17031031400,689,681,218,201,0.295154185,896,886,236,222,0.250564334,444,579,633,789
17031031501,232,221,75,71,0.321266968,294,283,80,81,0.286219081,172,193,224,249
17031031502,279,293,91,92,0.313993174,399,386,108,107,0.277202073,237,252,280,328
17031031700,534,530,155,149,0.281132075,796,760,182,174,0.228947368,589,605,786,835
17031031800,204,204,58,61,0.299019608,262,275,59,67,0.243636364,171,160,270,237
17031031900,231,233,66,67,0.287553648,327,320,74,75,0.234375,219,204,279,308
17031032100,800,847,244,245,0.289256198,1175,1248,289,298,0.238782051,696,709,1061,1075
17031040100,261,235,73,71,0.30212766,355,337,80,79,0.234421365,352,390,419,406
17031040201,396,365,109,104,0.284931507,500,468,115,115,0.245726496,337,362,437,461
17031040202,216,234,76,84,0.358974359,307,337,88,101,0.299703264,159,175,318,269
